CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
36750776035265,36,75077,6035265,2015-16,33,29,40,43,44,48,17,17,24,26,34,36
19647336019343,19,64733,6019343,2015-16,28,38,34,39,44,48,27,41,25,29,34,36
36677773630217,36,67777,3630217,2015-16,23,17,41,42,44,48,5,2,29,27,34,36
49709536052278,49,70953,6052278,2015-16,32,45,35,43,44,48,25,39,21,28,34,36
15635526009666,15,63552,6009666,2015-16,33,39,35,42,44,48,17,19,21,23,34,36
19646346014476,19,64634,6014476,2015-16,42,45,28,33,44,48,28,27,17,19,34,36
05615640530055,05,61564,0530055,2015-16,,33,38,41,44,48,,50,27,28,34,36
19649986022693,19,64998,6022693,2015-16,56,53,60,64,44,48,49,47,48,52,34,36
37681976038434,37,68197,6038434,2015-16,34,38,44,50,44,48,28,26,37,39,34,36
01750930125930,01,75093,0125930,2015-16,83,86,77,78,44,48,76,81,69,73,34,36
33671990110585,33,67199,0110585,2015-16,28,32,29,33,44,48,16,17,19,21,34,36
19647336019434,19,64733,6019434,2015-16,26,40,34,39,44,48,22,22,25,29,34,36
19647336017123,19,64733,6017123,2015-16,31,36,34,39,44,48,21,26,25,29,34,36
30666470109678,30,66647,0109678,2015-16,73,73,62,66,44,48,74,73,55,57,34,36
07618040102566,07,61804,0102566,2015-16,87,87,81,82,44,48,88,89,73,76,34,36
19647330117598,19,64733,0117598,2015-16,50,64,34,39,44,48,11,23,25,29,34,36
13630736008296,13,63073,6008296,2015-16,27,34,30,36,44,48,24,20,17,20,34,36
35103553530045,35,10355,3530045,2015-16,16,--,8,17,44,48,6,--,1,5,34,36
49753584930269,49,75358,4930269,2015-16,7,,42,44,44,48,0,,28,30,34,36
56725460115105,56,72546,0115105,2015-16,73,78,43,54,44,48,69,76,23,28,34,36
33669773330008,33,66977,3330008,2015-16,44,59,35,40,44,48,24,28,24,28,34,36
30666706030449,30,66670,6030449,2015-16,19,21,27,31,44,48,20,21,22,25,34,36
07617966057236,07,61796,6057236,2015-16,25,32,33,35,44,48,22,24,23,25,34,36
42691466045306,42,69146,6045306,2015-16,29,40,41,54,44,48,26,34,34,39,34,36
34674136033666,34,67413,6033666,2015-16,42,57,38,40,44,48,34,46,28,29,34,36
19647336018360,19,64733,6018360,2015-16,15,25,34,39,44,48,14,19,25,29,34,36
37684526107577,37,68452,6107577,2015-16,44,42,43,45,44,48,24,23,30,31,34,36
56726526056204,56,72652,6056204,2015-16,46,43,50,54,44,48,30,33,39,42,34,36
33670820116962,33,67082,0116962,2015-16,24,28,33,37,44,48,12,16,22,24,34,36
31668520120105,31,66852,0120105,2015-16,68,76,70,73,44,48,68,71,62,65,34,36
10624146117865,10,62414,6117865,2015-16,74,75,44,47,44,48,69,75,35,37,34,36
19734526022289,19,73452,6022289,2015-16,24,34,46,51,44,48,14,21,36,39,34,36
13631236008460,13,63123,6008460,2015-16,38,40,29,35,44,48,24,25,20,25,34,36
19647336020010,19,64733,6020010,2015-16,85,91,34,39,44,48,81,91,25,29,34,36
56725465634548,56,72546,5634548,2015-16,47,43,43,54,44,48,15,17,23,28,34,36
36678766068191,36,67876,6068191,2015-16,17,18,27,33,44,48,16,30,17,20,34,36
03739816002851,03,73981,6002851,2015-16,36,53,38,42,44,48,26,37,25,28,34,36
04614240430199,04,61424,0430199,2015-16,20,22,48,51,44,48,9,4,40,44,34,36
15638266057426,15,63826,6057426,2015-16,43,47,41,47,44,48,31,32,30,32,34,36
33751766118442,33,75176,6118442,2015-16,39,44,35,41,44,48,26,34,23,27,34,36
34674396033765,34,67439,6033765,2015-16,24,21,35,39,44,48,23,19,28,30,34,36
19648736021430,19,64873,6021430,2015-16,40,54,35,41,44,48,30,48,21,27,34,36
57726786066245,57,72678,6066245,2015-16,77,74,69,71,44,48,76,76,65,65,34,36
48705404833000,48,70540,4833000,2015-16,59,51,43,45,44,48,24,21,29,30,34,36
34674476097810,34,67447,6097810,2015-16,34,47,42,45,44,48,26,35,32,35,34,36
58727440112623,58,72744,0112623,2015-16,48,53,53,57,44,48,29,29,39,41,34,36
42104216069223,42,10421,6069223,2015-16,4,4,6,5,44,48,4,7,1,4,34,36
50710430133827,50,71043,0133827,2015-16,,--,,39,,48,,--,,20,,36
19647336017602,19,64733,6017602,2015-16,29,29,34,39,44,48,31,23,25,29,34,36
37684116120968,37,68411,6120968,2015-16,59,68,47,53,44,48,51,53,29,31,34,36
07616556117410,07,61655,6117410,2015-16,56,61,53,60,44,48,49,54,44,51,34,36
48705816107684,48,70581,6107684,2015-16,23,25,26,29,44,48,20,23,18,21,34,36
37683046107999,37,68304,6107999,2015-16,43,50,49,53,44,48,39,37,36,38,34,36
15633216009088,15,63321,6009088,2015-16,23,28,26,31,44,48,15,17,18,21,34,36
33752006120554,33,75200,6120554,2015-16,49,56,57,61,44,48,33,37,42,46,34,36
15633216109060,15,63321,6109060,2015-16,13,13,26,31,44,48,9,8,18,21,34,36
31668456031165,31,66845,6031165,2015-16,57,63,64,65,44,48,51,56,57,57,34,36
36678766059505,36,67876,6059505,2015-16,28,40,27,33,44,48,13,18,17,20,34,36
19644516012801,19,64451,6012801,2015-16,49,53,46,52,44,48,45,51,31,36,34,36
07616480730101,07,61648,0730101,2015-16,16,14,31,33,44,48,0,,19,19,34,36
17640226010623,17,64022,6010623,2015-16,14,19,24,20,44,48,8,5,13,9,34,36
45701364530218,45,70136,4530218,2015-16,--,--,70,68,44,48,--,--,42,48,34,36
38684783830411,38,68478,3830411,2015-16,28,48,52,53,44,48,3,8,47,49,34,36
36678436036560,36,67843,6036560,2015-16,32,47,53,59,44,48,30,40,40,44,34,36
34674390125591,34,67439,0125591,2015-16,31,35,35,39,44,48,25,34,28,30,34,36
19647336019830,19,64733,6019830,2015-16,79,86,34,39,44,48,78,83,25,29,34,36
19647330112011,19,64733,0112011,2015-16,13,15,34,39,44,48,11,16,25,29,34,36
56739400121426,56,73940,0121426,2015-16,44,48,61,63,44,48,6,10,45,49,34,36
51714646053391,51,71464,6053391,2015-16,23,26,39,44,44,48,15,16,26,29,34,36
19650606023220,19,65060,6023220,2015-16,72,70,63,66,44,48,74,71,55,58,34,36
